index,GAME_ID,TEAM_ID,OPPONENT_TEAM_ID,EFG_PCT,EFG_PCT_OPP,PACE,PACE_OPP,AST_TOV,AST_TOV_OPP,DEF_RATING,DEF_RATING_OPP,OFF_RATING,OFF_RATING_OPP
4860,0022300091,1610612754,1610612739,0.5,0.643,102.0,102.0,0.0,2.67,142.3,124.0,124.0,142.3
4855,0022300092,1610612755,1610612761,0.579,0.729,96.0,96.0,1.75,2.5,150.0,112.5,112.5,150.0
4854,0022300092,1610612761,1610612755,0.729,0.579,96.0,96.0,2.5,1.75,112.5,150.0,150.0,112.5
4853,0022300093,1610612748,1610612750,0.596,0.48,104.0,104.0,5.0,2.0,100.0,119.2,119.2,100.0
4852,0022300093,1610612750,1610612748,0.48,0.596,104.0,104.0,2.0,5.0,119.2,100.0,100.0,119.2
4856,0022300094,1610612762,1610612756,0.658,0.69,96.0,96.0,0.86,8.0,154.2,112.5,112.5,154.2
4857,0022300094,1610612756,1610612762,0.69,0.658,96.0,96.0,8.0,0.86,112.5,154.2,154.2,112.5
4851,0022300095,1610612743,1610612760,0.552,0.365,96.0,96.0,10.0,0.0,95.8,141.7,141.7,95.8
4850,0022300095,1610612760,1610612743,0.365,0.552,96.0,96.0,0.0,10.0,141.7,95.8,95.8,141.7
4848,0022300096,1610612745,1610612744,0.5,0.591,88.0,88.0,6.0,2.0,118.2,109.1,109.1,118.2
4849,0022300096,1610612744,1610612745,0.591,0.5,88.0,88.0,2.0,6.0,109.1,118.2,118.2,109.1
4845,0022300097,1610612737,1610612749,0.538,0.423,104.0,104.0,2.33,1.5,96.2,119.2,119.2,96.2
4844,0022300097,1610612749,1610612737,0.423,0.538,104.0,104.0,1.5,2.33,119.2,96.2,96.2,119.2
4846,0022300098,1610612757,1610612755,0.522,0.711,108.0,108.0,1.75,2.5,133.3,103.7,103.7,133.3
4847,0022300098,1610612755,1610612757,0.711,0.522,108.0,108.0,2.5,1.75,103.7,133.3,133.3,103.7
4842,0022300099,1610612759,1610612746,0.425,0.423,112.0,112.0,0.75,0.57,82.1,60.7,60.7,82.1
4843,0022300099,1610612746,1610612759,0.423,0.425,112.0,112.0,0.57,0.75,60.7,82.1,82.1,60.7
4841,0022300100,1610612747,1610612758,0.458,0.722,114.0,114.0,3.0,4.0,146.4,96.6,96.6,146.4
