index,GAME_ID,PTS_QTR1,OPP_PTS_QTR1
1351,0022200556,18,26
1350,0022200556,26,18
1348,0022200557,23,23
1345,0022200558,26,38
1344,0022200558,38,26
1360,0022200559,27,22
1361,0022200559,22,27
1347,0022200560,34,28
1346,0022200560,28,34
1336,0022200561,28,32
1337,0022200561,32,28
1335,0022200562,33,34
1334,0022200562,34,33
1339,0022200563,23,35
1338,0022200563,35,23
1333,0022200564,40,26
1332,0022200564,26,40
1312,0022200565,14,15
1313,0022200565,15,14
1325,0022200566,28,31
1324,0022200566,31,28
1310,0022200567,28,27
1311,0022200567,27,28
1316,0022200568,39,29
1317,0022200568,29,39
1331,0022200569,12,13
1330,0022200569,13,12
1327,0022200570,40,33
1326,0022200570,33,40
1329,0022200571,29,24
1328,0022200571,24,29
1321,0022200572,22,45
1320,0022200572,45,22
1314,0022200573,26,34
1315,0022200573,34,26
1322,0022200574,32,23
1323,0022200574,23,32
1318,0022200575,30,30
1309,0022200576,22,20
1308,0022200576,20,22
1302,0022200577,29,20
1303,0022200577,20,29
1305,0022200578,31,23
1304,0022200578,23,31
1307,0022200579,15,32
1306,0022200579,32,15
1299,0022200580,26,29
1298,0022200580,29,26
1284,0022200581,25,30
1285,0022200581,30,25
1297,0022200582,30,26
1296,0022200582,26,30
1282,0022200583,28,51
1283,0022200583,51,28
1281,0022200584,35,17
1280,0022200584,17,35
1295,0022200585,31,28
1294,0022200585,28,31
1289,0022200586,28,27
1288,0022200586,27,28
1291,0022200587,33,37
